DISTRICT,TALUK,VILLAGES,N,P,K,temperature,humidity,ph,rainfall
Alappuzha,Cherthala,Kokkothamangalam,85,38,41,21.58711777,82.7883708,6.249050656,276.6552459
Alappuzha,Cherthala,Kuthiathode,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855
Alappuzha,Cherthala,Mararikkulam North,77,38,36,21.8652524,80.1923008,5.953933276,224.5550169
Alappuzha,Cherthala,Muhamma,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618
Alappuzha,Cherthala,Pallippuram,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732
Alappuzha,Cherthala,Panavally,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163
Alappuzha,Cherthala,Pattanakkad,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
Alappuzha,Cherthala,Perumbalam,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
Alappuzha,Cherthala,Thaikattussery,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
Alappuzha,Cherthala,Thanneermukkam,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
Alappuzha,Cherthala,Thuravoor Thekku,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
Alappuzha,Cherthala,Vayalar,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
Alappuzha,Karthikappally,Arattupuzha,28,10,30,29.8690834,91.14723422,6.305740522,192.7678575
Alappuzha,Karthikappally,Cheppad,39,7,29,27.54273211,94.59086121,6.362544111,150.2012138
Alappuzha,Karthikappally,Cheruthana,32,20,35,26.52166434,98.38227669,5.588655387,144.6261698
Alappuzha,Karthikappally,Chingoli,7,15,32,25.03512351,95.89739958,6.182232762,174.796583
Alappuzha,Karthikappally,Haripad,29,17,29,29.20394909,95.66997327,5.959493188,211.2506267
Alappuzha,Karthikappally,Kandalloor,34,15,34,27.05826457,91.10510371,5.677282678,224.7006953
Alappuzha,Karthikappally,Karthikappally,14,23,25,26.18552389,96.96637916,5.612122797,135.4186222
Alappuzha,Karthikappally,Karuvatta,18,19,29,27.59376845,92.48519606,6.206077742,162.8432736
Alappuzha,Karthikappally,Kayamkulam,39,24,14,30.55472573,90.90343769,7.189259647,106.0711985
Alappuzha,Karthikappally,Keerikkad,13,23,6,23.96147583,90.26408017,7.365338111,102.6958703
Alappuzha,Karthikappally,Krishnapuram,21,17,15,23.98289638,91.5473145,7.455991072,118.4901697
Alappuzha,Karthikappally,Kumarapuram,33,12,8,25.26052689,90.31153735,6.822282114,117.3695296
Alappuzha,Karthikappally,Muthukulam,6,9,12,31.08368929,90.14362642,7.028746406,109.6894658
Alappuzha,Karthikappally,Pallippad,19,7,10,14.78003032,91.22062116,6.118430299,100.1961762
Alappuzha,Karthikappally,Pathiyoor,24,18,6,26.56608303,94.45239715,6.285312759,116.3796525
Alappuzha,Karthikappally,Puthuppally,9,11,8,24.85903405,94.39000473,6.559236744,111.7803734
Alappuzha,Karthikappally,Thrikkunnapuzha,31,8,7,34.51465139,93.63812684,7.163245982,103.5684926
Alappuzha,Karthikappally,Veeyapuram ,22,17,5,24.12188673,90.72351622,6.945562889,102.835632
Alappuzha,Kuttanad,Champakkulam,24,14,33,29.38072512,93.27565685,6.366219551,218.5241851
Alappuzha,Kuttanad,Edathua,32,12,30,25.39241091,98.08951196,5.579845008,218.080385
Alappuzha,Kuttanad,Kainakary North,30,25,31,26.31270635,98.62048026,5.804965067,208.1181381
Alappuzha,Kuttanad,Kainakary South,14,21,35,29.52501367,91.91185319,6.121005506,194.3100272
Alappuzha,Kuttanad,Kavalam,27,22,29,28.83214859,92.17170353,6.000248647,145.4172387
Alappuzha,Kuttanad,Kunnumma,40,5,29,28.48444906,97.76865458,5.820978791,160.389421
Alappuzha,Kuttanad,Muttar,17,11,32,28.74013335,93.39676499,5.620733794,156.7650823
Alappuzha,Kuttanad,Nedumudi,30,30,35,25.00872392,95.59224018,6.001936419,165.8092179
Alappuzha,Kuttanad,Neelamperoor,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921
Alappuzha,Kuttanad,Pulinkunnu,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816
Alappuzha,Kuttanad,Ramankary,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164
Alappuzha,Kuttanad,Thakazhy,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865
Alappuzha,Kuttanad,Thalavady,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137
Alappuzha,Kuttanad,Veliyanad ,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026
Alappuzha,Mavelikkara,Bharanikkavu,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647
Alappuzha,Mavelikkara,Chennithala,13,5,8,23.85340379,90.10522549,7.474710503,103.923226
Alappuzha,Mavelikkara,Chunakkara,16,8,9,24.60297538,91.28408653,7.601189843,111.2948115
Alappuzha,Mavelikkara,Kannamangalam,4,13,6,15.63211033,94.25966183,7.561143224,101.4705704
Alappuzha,Mavelikkara,Kattanam,0,25,14,19.33516809,91.97978938,6.361671475,116.450422
Alappuzha,Mavelikkara,Mavelikkara,8,7,10,28.2620488,91.98317355,6.929216014,105.2132259
Alappuzha,Mavelikkara,Noornad,4,23,5,22.67594476,93.36348717,7.477935216,110.3332655
Alappuzha,Mavelikkara,Palamel,33,14,8,21.03200078,92.9641969,7.684420446,110.6823944
Alappuzha,Mavelikkara,Perungala,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215
Alappuzha,Mavelikkara,Thamarakkulam,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204
Alappuzha,Mavelikkara,Thazhakara,92,35,40,22.17931888,80.33127223,6.357389366,200.0882787
Alappuzha,Mavelikkara,Thekkekara,85,37,39,24.52783742,82.73685569,6.364134968,224.6757231
Alappuzha,Mavelikkara,Thriperumthura,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274
Alappuzha,Mavelikkara,Vallikunnam,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372
Alappuzha,Mavelikkara,Vettiyar ,95,55,42,26.79533926,82.1480873,5.950660556,193.3473987
Ernakulam,Aluva,Aluva,3,72,24,36.51268371,57.92887167,6.03160778,122.6539694
Ernakulam,Aluva,Angamaly,40,59,23,36.89163721,62.73178224,5.269084669,163.7266551
Ernakulam,Aluva,Ayyampuzha,33,73,23,29.23540524,59.38967583,5.985792703,103.3301803
Ernakulam,Aluva,Chengamanad,27,57,24,27.33534897,43.35795962,6.09186275,142.3303677
Ernakulam,Aluva,Choornikkara,10,79,18,21.0643684,55.46985938,5.624731338,184.6226709
Ernakulam,Aluva,Chowwara,30,75,25,30.33276599,42.35249879,6.446091759,149.299952
Ernakulam,Aluva,Edathala,40,70,20,31.80130272,45.03186173,5.623490043,147.0361442
Ernakulam,Aluva,Kalady,38,55,19,33.18184225,38.23184742,5.864623352,198.8298806
Ernakulam,Aluva,Karukutty,35,58,20,29.38538562,63.47742011,5.761702519,90.05422663
Ernakulam,Aluva,Kizhakkumbhagom,32,76,15,28.05153602,63.49802189,7.604110177,43.35795377
Ernakulam,Aluva,Malayattoor,13,61,22,19.44084326,63.27771461,7.728832424,46.83130119
Ernakulam,Aluva,Manjapra,38,60,20,29.84823072,60.63872613,7.491217102,46.80452595
Ernakulam,Aluva,Mattoor,11,74,17,21.36383757,69.92375891,6.633864582,46.6352865
Ernakulam,Aluva,Mookkannoor,37,71,16,26.28663931,68.51966729,7.324863481,46.13833007
Ernakulam,Aluva,Nedumbassery,29,71,18,22.17499963,62.13873825,6.410441476,53.46622584
Ernakulam,Aluva,Parakkadavu,29.66666667,70.73333333,17.4,22.79471239,66.48755178,6.395127922,52.03492464
Ernakulam,Aluva,Thekkumbhagom,38,61,21,30.27374995,67.38680755,4.696518678,127.7767134
Ernakulam,Aluva,Thuravoor,33,58,24,35.45790488,68.75810535,5.269504214,108.6333046
Ernakulam,Aluva,Vadakkumbhagom,16,56,17,33.80020039,40.03262418,7.445444883,176.6165894
Ernakulam,Kanayannur,Amballur,31,72,17,28.69180475,49.47225353,5.833031708,96.36222901
Ernakulam,Kanayannur,Cheranallur,16,80,20,31.24021696,56.67369054,7.339320929,122.0146733
Ernakulam,Kanayannur,Edakkattuvayal,27,72,17,28.98039357,57.23265151,6.347929353,120.7435664
Ernakulam,Kanayannur,Kadamakkudy,40,62,19,27.32198928,34.13737127,4.697750704,96.51524028
Ernakulam,Kanayannur,Kaippattur,22,30,12,15.78144173,92.51077745,6.354006744,119.035002
Ernakulam,Kanayannur,Kakkanad,37,6,13,26.03097313,91.50819306,7.511755068,101.2847738
Ernakulam,Kanayannur,Kalamassery,27,13,6,13.36050601,91.35608208,7.335158382,111.2266885
Ernakulam,Kanayannur,Kanayannur,7,16,9,18.87957654,92.04304496,7.813916603,114.6659511
Ernakulam,Kanayannur,Keecherry,20,7,9,29.47741671,91.57802915,7.129136941,111.1727497
Ernakulam,Kanayannur,Kochi,26,27,10,28.06903173,92.91487288,6.079998496,114.1339416
Ernakulam,Kanayannur,Kulayettikara,5,23,15,25.66901098,92.04670813,7.408939392,112.5424199
Ernakulam,Kanayannur,Kumbalam,0,18,14,29.77149434,92.00719952,7.207991261,114.4161786
Ernakulam,Kanayannur,Kureekkad,39,24,14,30.55472573,90.90343769,7.189259647,106.0711985
Ernakulam,Kanayannur,Manakunnam,3,68,16,18.31910448,34.69776639,4.964887857,107.4721605
Ernakulam,Kanayannur,Maradu,26,67,24,36.97794384,37.73992903,5.642813116,161.4812963
Ernakulam,Kanayannur,Mulamthuruthy,16,70,20,24.80467592,40.1242747,5.6093956,121.5639121
Ernakulam,Kanayannur,Mulavukad,24,63,19,19.3479443,55.96805489,4.681576043,194.5921148
Ernakulam,Kanayannur,Thiruvankulam,9,76,25,28.88302142,50.12323801,5.70951224,179.2155874
Ernakulam,Kanayannur,Thrikkakara North,40,5,29,28.48444906,97.76865458,5.820978791,160.389421
Ernakulam,Kanayannur,Thrippunithura,17,11,32,28.74013335,93.39676499,5.620733794,156.7650823
Ernakulam,Kanayannur,Vazhakkala,30,30,35,25.00872392,95.59224018,6.001936419,165.8092179
Ernakulam,Kochi,Chellanam,28,10,30,29.8690834,91.14723422,6.305740522,192.7678575
Ernakulam,Kochi,Cheriyakadavu,39,7,29,27.54273211,94.59086121,6.362544111,150.2012138
Ernakulam,Kochi,Edavanakkad,32,20,35,26.52166434,98.38227669,5.588655387,144.6261698
Ernakulam,Kochi,Elamkunnapuzha,34,38,31,35.37775595,45.58110023,6.454045329,97.41586402
Ernakulam,Kochi,Kumbalangy,16,55,19,19.54314136,47.19188279,6.413543781,192.4372194
Ernakulam,Kochi,Kuzhuppilly,28,75,21,24.7741949,50.54621094,6.007508163,114.2821387
Ernakulam,Kochi,Nayarambalam,16,71,24,18.33124824,38.40975482,4.946369874,139.6483317
Ernakulam,Kochi,Njarackal,24,70,21,19.14729038,45.3733757,5.517208078,132.7748215
Ernakulam,Kochi,Pallippuram,38,72,21,28.23416057,49.4421345,5.902103172,186.5008581
Ernakulam,Kochi,Puthuvype,9,66,21,30.11812084,34.13307843,5.719889876,157.0858232
Ernakulam,Kothamangalam,Eramalloor,37,10,32,28.96318258,95.16333673,6.165084855,222.803013
Ernakulam,Kothamangalam,Kadavoor,20,29,27,25.09897688,92.36099489,6.047044342,157.7592626
Ernakulam,Kothamangalam,Keerampara,29,78,25,19.95991719,59.33157782,5.982854523,195.787103
Ernakulam,Kothamangalam,Kothamangalam,30,60,21,28.87667593,62.4901206,5.457871273,182.2688175
Ernakulam,Kothamangalam,Kottappady,20,74,16,36.04353699,43.61444121,4.759490199,159.8938645
Ernakulam,Kothamangalam,Kuttamangalam,19,57,23,23.6734328,47.2879691,7.342409555,141.1250722
Ernakulam,Kothamangalam,Kuttampuzha,3,60,19,25.74679443,40.7192594,4.820788186,100.7791633
Ernakulam,Kothamangalam,Neriamangalam,5,77,19,31.08564994,66.68832981,6.242052013,175.9303271
Ernakulam,Kothamangalam,Paingottor,38,132,197,20.42094753,81.54185044,5.931101816,66.93065667
Ernakulam,Kothamangalam,Pindimana,34,15,34,27.05826457,91.10510371,5.677282678,224.7006953
Ernakulam,Kothamangalam,Pothanikkad,36,133,198,25.51939719,83.98351748,6.2286454,69.17281221
Ernakulam,Kothamangalam,Thrikkariyoor,14,23,25,26.18552389,96.96637916,5.612122797,135.4186222
Ernakulam,Kothamangalam,Varappetty,34,56,17,33.4126864,35.42910045,4.548202098,139.6702541
Ernakulam,Kunnathunad,Aikaranad North,1,76,19,24.18553163,46.68746847,6.669529416,177.3377996
Ernakulam,Kunnathunad,Aikaranad South,6,69,19,26.88630675,41.69617915,4.750929218,94.46748008
Ernakulam,Kunnathunad,Arakapady,26,73,21,31.33170829,57.97429171,4.946263888,161.7820226
Ernakulam,Kunnathunad,Asamannoor,27,61,18,33.30711818,67.07780816,5.266227032,108.5090168
Ernakulam,Kunnathunad,Chelamattom,27,71,23,23.45379018,46.48714759,7.10959773,150.8712202
Ernakulam,Kunnathunad,Irapuram,6,59,21,26.58972517,66.14007674,6.139215944,50.90994463
Ernakulam,Kunnathunad,Kizhakkambalam,13,64,20,19.1345771,62.57526895,6.590571088,36.46946971
Ernakulam,Kunnathunad,Kodanad,8,58,17,28.75273118,69.15640149,7.286049978,35.15426171
Ernakulam,Kunnathunad,Kombanad,6,77,20,25.78746268,60.2816298,6.058306161,49.14337177
Ernakulam,Kunnathunad,Koovappady,2,75,22,23.89271875,61.78779413,6.658605362,52.55730112
Ernakulam,Kunnathunad,Kunnathunad,3,69,23,28.67408774,63.18832976,7.299360767,42.96018627
Ernakulam,Kunnathunad,Marampilly,27,80,24,28.42062847,61.77336343,7.815210661,49.02366803
Ernakulam,Kunnathunad,Mazhuvannoor,28,23,28,30.01821337,50.0983181,5.676032581,96.08745082
Ernakulam,Kunnathunad,Pattimattom,7,31,27,31.32863689,47.59319575,6.524114355,94.67344737
Ernakulam,Kunnathunad,Perumbavoor,29,34,26,33.88004781,54.39416048,6.273953676,89.29147581
Ernakulam,Kunnathunad,Puthencruz,8,37,33,28.07802689,54.9640534,6.128167757,97.45373619
Ernakulam,Kunnathunad,Rayamangalam,39,16,27,35.53845018,52.94641947,4.934964765,91.54560427
Ernakulam,Kunnathunad,Thiruvaniyoor,7,28,35,30.02086169,46.78393776,4.66910839,96.63721027
Ernakulam,Kunnathunad,Vadavukode,0,36,26,34.13072188,51.25786185,5.101206389,96.38808001
Ernakulam,Kunnathunad,Vazhakulam,26,35,31,33.44619894,53.05980465,5.339556562,98.05089394
Ernakulam,Kunnathunad,Vengola,27,21,30,35.3915464,52.48823147,5.061081874,91.22881052
Ernakulam,Kunnathunad,Vengoor,22,38,31,31.53356352,53.06009323,5.821106036,98.57025046
Ernakulam,Kunnathunad,Vengoor West ,22,18,31,30.7645515,47.93791463,5.956027059,90.38503469
Ernakulam,Muvattupuzha,Arakuzha,39,78,15,21.35499456,62.60136323,5.925391795,41.78219834
Ernakulam,Muvattupuzha,Elanji,40,79,17,21.12695586,63.18738532,6.403683619,38.71834464
Ernakulam,Muvattupuzha,Enanalloor,37,62,22,24.02037872,61.62313345,7.397546271,49.78102578
Ernakulam,Muvattupuzha,Kalloorkkad,31,60,24,25.40474421,65.8567539,7.722335992,51.92057267
Ernakulam,Muvattupuzha,Koothattukulam,22,67,22,29.03017561,64.49166566,7.475926645,54.9393771
Ernakulam,Muvattupuzha,Maneed,3,78,18,20.21368219,68.65257685,6.887130053,50.89732989
Ernakulam,Muvattupuzha,Manjalloor,4,80,16,29.19585548,68.01965728,7.441976825,44.93261911
Ernakulam,Muvattupuzha,Marady,13,61,24,18.29783597,69.6897615,7.629910253,49.39111479
Ernakulam,Muvattupuzha,Memury,13,23,6,23.96147583,90.26408017,7.365338111,102.6958703
Ernakulam,Muvattupuzha,Mulavoor,21,17,15,23.98289638,91.5473145,7.455991072,118.4901697
Ernakulam,Muvattupuzha,Muvattupuzha,33,12,8,25.26052689,90.31153735,6.822282114,117.3695296
Ernakulam,Muvattupuzha,Muvattuuzha,6,9,12,31.08368929,90.14362642,7.028746406,109.6894658
Ernakulam,Muvattupuzha,Onakkoor,19,7,10,14.78003032,91.22062116,6.118430299,100.1961762
Ernakulam,Muvattupuzha,Palakkuzha,18,19,29,27.59376845,92.48519606,6.206077742,162.8432736
Ernakulam,Muvattupuzha,Piravom,7,21,35,25.76011662,94.65830608,5.764812076,131.2451414
Ernakulam,Muvattupuzha,Ramamangalam,24,27,34,28.87862994,95.11320315,6.203376525,145.0583117
Ernakulam,Muvattupuzha,Thirumarady,39,29,29,26.50908611,94.48414544,6.143662699,199.8778403
Ernakulam,Muvattupuzha,Valakam,5,68,20,18.72987676,61.33186249,5.001038726,139.8710041
Ernakulam,Muvattupuzha,Velloorkunnam,37,73,21,29.50304807,63.46513414,5.560224583,189.5208915
Ernakulam,Paravur,Alangad,9,59,24,20.43517772,39.37252634,4.747352458,137.2279662
Ernakulam,Paravur,Chendamangalam,9,77,17,21.65845777,63.58337146,6.280725549,38.07659414
Ernakulam,Paravur,Eloor,4,59,19,26.25070298,67.62779652,7.621494566,40.8106299
Ernakulam,Paravur,Ezhikkara,34,73,15,20.97195263,63.83179889,7.630424083,53.10207889
Ernakulam,Paravur,Kadungalloor,33,77,15,23.89736406,66.32102048,7.802212437,40.74536757
Ernakulam,Paravur,Karumalloor ,29,8,28,26.87037587,91.72546257,6.100429497,214.4128874
Ernakulam,Paravur,Kedamangalam,10,24,27,27.57283516,94.90485697,5.708409601,145.9298935
Ernakulam,Paravur,Kottuvally,0,29,32,28.05912437,98.3670985,5.868255858,171.6516396
Ernakulam,Paravur,Kunnukara,32,11,31,29.51611558,92.56492864,6.461225827,131.2116167
Ernakulam,Paravur,Moothakunnam,40,24,25,28.70595247,50.44030129,5.445008416,95.8946444
Ernakulam,Paravur,Paravur,19,38,26,31.48451729,48.77926304,4.525722333,93.17221967
Ernakulam,Paravur,Puthenvelikkara,21,21,30,27.69819273,51.41593238,5.403908328,100.7720705
Ernakulam,Paravur,Vadakkekara,22,18,33,30.41235793,52.48100602,6.621623545,93.92375879
Ernakulam,Paravur,Varappuzha,31,20,30,32.17752026,54.01352682,6.207495815,91.88766069
Idukki,Devikulam,Anaviratty,37,57,20,31.1006247,44.82069159,7.354286985,70.79934452
Idukki,Devikulam,Kannan Devan Hills,32,48,18,26.45707778,56.40226277,5.993513566,64.16167699
Idukki,Devikulam,Kanthalloor,18,55,23,21.9989826,56.31006755,6.98571967,136.8274312
Idukki,Devikulam,Keezhanthoor,39,77,21,22.99774444,60.24218572,4.603563116,159.689339
Idukki,Devikulam,Kottakamboor,13,75,20,30.55992394,35.29006485,6.979540061,178.8998611
Idukki,Devikulam,Kunjithanny,5,35,20,28.92952635,53.57014709,9.679240873,66.35634104
Idukki,Devikulam,Mankulam,25,57,24,27.65472156,58.59986279,6.974978386,36.94255012
Idukki,Devikulam,Mannamkandam,11,53,24,28.52396666,55.77264351,7.39389918,61.32935611
Idukki,Devikulam,Marayoor,23,62,85,18.97424756,19.5161216,8.490127142,80.7108745
Idukki,Devikulam,Pallivasal,27,62,77,18.19737048,14.71070537,6.576415562,70.18185181
Idukki,Devikulam,Vattavada,28,72,84,18.72963144,19.18197264,6.481783043,71.58010169
Idukki,Devikulam,Vellathuval,39,37,15,28.9973145,83.78911515,6.821747052,59.84499208
Idukki,Peerumade,Elappara,36,43,24,27.09400578,43.65305437,3.510404312,41.53749535
Idukki,Peerumade,Kokkayar,48,61,21,30.28496619,61.69295127,6.628264883,65.62859526
Idukki,Peerumade,Kumily,49,68,22,28.56840626,61.53278622,7.127064207,63.49726331
Idukki,Peerumade,Manjumala,30,60,21,28.87667593,62.4901206,5.457871273,182.2688175
Idukki,Peerumade,Mlappara,20,74,16,36.04353699,43.61444121,4.759490199,159.8938645
Idukki,Peerumade,Peerumade,5,45,21,28.36291385,88.00989267,6.487124217,43.05130077
Idukki,Peerumade,Periyar,7,15,32,25.03512351,95.89739958,6.182232762,174.796583
Idukki,Peerumade,Peruvanthanam,29,17,29,29.20394909,95.66997327,5.959493188,211.2506267
Idukki,Peerumade,Upputhara,29,57,20,25.60973447,50.7330069,5.87707519,53.39249517
Idukki,Peerumade,Vagamon ,31,35,23,30.30260453,47.18283631,7.707595055,68.04039813
Idukki,Thodupuzha,Alacode,34,11,10,31.75048899,94.59551226,7.36220835,115.1989301
Idukki,Thodupuzha,Arakkulam,31,58,15,28.31886863,60.19461399,6.167855382,45.36521251
Idukki,Thodupuzha,Elappally,55,78,21,33.39438752,62.93692886,6.602888249,63.57445989
Idukki,Thodupuzha,Idukki,50,64,25,28.84079155,63.37230676,6.734447425,70.25496749
Idukki,Thodupuzha,Kanjikuzhi,34,47,19,27.31372793,85.44815232,6.568795404,53.15223123
Idukki,Thodupuzha,Karikkode,21,44,18,27.06909959,86.89934108,7.12851089,50.46746116
Idukki,Thodupuzha,Karimannoor,17,58,20,28.06642822,85.91625451,6.42937879,39.23831035
Idukki,Thodupuzha,Karimkunnam ,25,40,21,27.73329078,81.13903037,6.248900919,44.17580911
Idukki,Thodupuzha,Kodikulam,19,7,9,27.255435,91.71369387,6.969883483,101.139435
Idukki,Thodupuzha,Kudayathoor,56,67,78,17.57445618,16.71826572,8.255450758,77.81891424
Idukki,Thodupuzha,Kumaramangalam,37,66,85,20.93175255,18.91295403,6.456148474,78.06910795
Idukki,Thodupuzha,Manakkad ,35,74,22,26.7230014,62.96841833,6.898905799,42.87274897
Idukki,Thodupuzha,Muttom,7,63,24,19.55750776,64.45268309,6.818681086,53.04669416
Idukki,Thodupuzha,Neyyasseri,55,78,21,33.39438752,62.93692886,6.602888249,63.57445989
Idukki,Thodupuzha,Purapuzha,5,68,20,19.04380471,33.10695144,6.12166671,155.3705624
Idukki,Thodupuzha,Thodupuzha,31,5,14,17.66545409,91.69865887,6.583411671,110.6857506
Idukki,Thodupuzha,Thodupuzha,18,12,8,12.59093977,91.81668769,6.206053072,119.3916718
Idukki,Thodupuzha,Udumbannoor,28,59,22,30.90607799,52.79913039,7.05181629,170.9919828
Idukki,Thodupuzha,Vannapuram,20,60,78,18.17234999,14.70085967,6.358740355,90.7760707
Idukki,Thodupuzha,Velliyamattom,37,77,20,25.93381964,68.70533022,7.080506001,51.02372773
Idukki,Udumbanchola,Anakkara,35,30,34,28.2974764,95.41122824,6.141502001,182.4482352
Idukki,Udumbanchola,Anavilasam,19,30,30,29.56549169,91.40896307,5.826381164,224.8315729
Idukki,Udumbanchola,Ayyappancoil,39,36,22,29.34317422,60.50320928,9.072011412,34.03335472
Idukki,Udumbanchola,Baisonvally,32,41,16,28.63618921,61.39451307,7.702287236,68.54877876
Idukki,Udumbanchola,Chakkupallam,30,41,15,24.83206631,44.17085032,5.88509677,52.0810886
Idukki,Udumbanchola,Chathurangapara,27,60,17,26.41768321,63.64698302,7.026795359,64.42177127
Idukki,Udumbanchola,Chinnakanal,55,60,15,32.79766751,68.77994074,7.163043872,64.11411069
Idukki,Udumbanchola,Kalkoonthal,44,63,15,26.42333018,64.51136845,7.338929556,63.46546487
Idukki,Udumbanchola,Kanthippara,58,79,17,27.24766491,66.10123083,7.04174124,62.31842057
Idukki,Udumbanchola,Karunapuram,27,62,24,28.63005477,66.770943,7.353876754,62.2737345
Idukki,Udumbanchola,Kattappana,39,76,76,19.96837462,15.57324389,8.135900726,69.15759062
Idukki,Udumbanchola,Konnathady,35,63,76,17.81564548,17.60756635,7.714153038,90.82097601
Idukki,Udumbanchola,Pampadumpara,30,65,82,20.71424384,15.27824066,7.103798069,76.77888672
Idukki,Udumbanchola,Parathodu,34,60,25,29.78416743,85.16906976,6.79385576,40.77872823
Idukki,Udumbanchola,Poopara,19,53,22,27.8640132,80.4513142,6.852884643,42.83053902
Idukki,Udumbanchola,Rajakkad,31,58,15,27.11026483,84.96771717,7.121571293,51.52617423
Idukki,Udumbanchola,Rajakumari,33,80,22,28.57006111,65.71765781,6.593961761,70.0866434
Idukki,Udumbanchola,Santhanpara,37,79,19,27.54384835,69.3478631,7.143942758,69.40878198
Idukki,Udumbanchola,Thankamony,33,75,21,33.04687968,68.93875631,6.690655045,62.30278274
Idukki,Udumbanchola,Udumb anchola,4,59,22,29.33743412,49.00323081,8.914074888,42.44054315
Idukki,Udumbanchola,Upputhode,10,44,24,30.99256944,43.02151392,8.0344125,58.27600682
Idukki,Udumbanchola,Vandanmedu,47,63,16,27.44003279,67.10464369,6.661870999,72.50669768
